commit	val_bpb	memory_gb	status	description
cf051ed	1.097140	7.2	discard	MATRIX_LR=0.06 (0.055 better)
61bd166	1.105746	7.0	discard	no x0 residual (x0 connection clearly helps)
b1235ec	1.097399	7.2	discard	Muon momentum 0.80->0.95 (0.90 final better)
39e9a65	1.097468	7.3	discard	final embedding skip (x0 residual already sufficient)
9dccce0	1.098085	7.2	discard	constant WD (linear decay better)
1126b71	1.096942	7.2	discard	embedding init std=0.5 (close but 0.6 still better)
426cd4a	1.097658	7.2	discard	embedding init std=0.7 (0.6 optimal)
469bce7	0.000000	0.0	crash	MLP c_fc bias (1D bias crashes in Muon optimizer)
fca7898	1.097554	7.2	discard	UNEMBEDDING_LR=0.01 (0.008 optimal)
7aa7007	1.097499	7.2	discard	VE LR=0.3 (same as embedding LR=0.45 is better)
7c77c52	1.096983	7.2	discard	EMBEDDING_LR=0.5 (0.45 better)
3d79f62	1.097548	7.2	discard	VE gate channels=64 (32 optimal)
e02def2	1.097486	7.2	discard	Muon beta2=0.999 NorMuon smoothing (beta2=None better)
5c2aad9	1.096939	7.2	discard	WD follows LR schedule (very close but not better)
19a8d4e	1.096853	7.2	discard	MLP scale 0.8 (close, +0.0006 from best)
1051a6b	1.096864	7.2	discard	MLP scale 0.65 (close but 0.7 optimal)
0075cb7	1.096713	7.2	discard	per-layer MLP scale 0.8->0.6 (closest yet but still worse)
f3e7cfb	1.096533	7.2	discard	per-layer MLP scale 0.9->0.5 (very close, +0.00029)
67c198c	1.097225	7.2	discard	per-layer MLP scale 0.5->0.9 increasing (decreasing better)
e867fdb	1.096583	7.2	discard	per-layer MLP scale 1.0->0.4 (0.9->0.5 was slightly better)
02eb3dc	1.096674	7.2	discard	per-layer MLP scale 0.95->0.55 avg 0.75 (0.9->0.5 avg 0.7 better)
2d32eac	1.096424	7.2	discard	MLP scale 0.9->0.5 + beta2=0.98 (closest yet +0.000182)
7ce7662	1.218138	4.8	discard	640 dim 5 heads (48.7M params, too slow at 1019 steps)
26b25d1	1.098471	7.2	discard	two-cycle LR 1.0->0.3->0.02 (single warmdown better)
311f350	1.096511	7.2	discard	per-layer MLP scale 0.9->0.5 rerun (consistent 1.0965, not better)
be19a49	1.096532	7.2	discard	attn scale 0.8->1.2 + MLP scale 0.9->0.5 (no better than MLP alone)
cf1f2d5	1.096757	7.2	discard	WEIGHT_DECAY=0.10 (0.08 better)
24623d2	1.097222	7.2	discard	WEIGHT_DECAY=0.06 (0.08 better)
84465ba	1.096721	7.2	discard	MLP scale 0.9->0.5 + WD=0.09 (WD change doesn't help)
be863b2	1.111367	7.2	discard	GELU activation (ReluSquared much better, sparsity helps)
4115630	1.097121	7.2	discard	MATRIX_LR=0.050 (0.055 optimal)
c5f5e8a	1.097042	7.2	discard	momentum warmup 400 steps (200 better)
a313617	1.097192	7.2	discard	VE gate scale 1.5 (2.0 better)
f7e9361	1.096819	7.2	discard	resid=0.85 x0=0.15 (0.90/0.1 better)
4722f54	1.099679	7.2	discard	lm_head init std=0.01 (too large, 0.001 optimal)
ccc9096	1.111376	7.2	discard	all full attention (too expensive, -150 steps)
1052678	1.097469	7.2	discard	window 128 (seq/16, more steps but less context)
517c72d	1.100807	7.4	discard	5% attention dropout (hurts in compute-limited regime)
ffee0cc	1.123706	7.2	discard	post-norm after attention (hurts gradient flow badly)
0923ecc	1.097096	7.2	discard	MATRIX_LR=0.0525 (0.055 optimal)
8b2b7ce	1.097197	7.2	discard	EMBEDDING_LR=0.42 (0.45 optimal)
730f215	1.096971	7.2	discard	MLP scale 0.9->0.5 + LR=0.057 (LR change hurts)
a396f9f	1.097852	7.2	discard	SCALAR_LR=0.5 (1.0 better)
8d37114	1.105298	7.2	discard	bottleneck VE 128 (too much capacity loss, 26M params)
2a67936	1.100798	7.3	discard	SWA avg 6 snapshots last 20% of training (hurts)
f39aa29	1.098533	7.2	discard	c_proj init small random std=0.01 instead of zeros
42a8ef6	1.111578	8.8	discard	wider model depth=5 dim=640 5heads (48.7M params too large)
075d03c	1.103479	6.5	discard	depth=6 dim=384 3heads (deeper narrower 25.5M params)
e88a953	1.099938	7.2	discard	CenterNorm (subtract mean before RMS norm)
4b21d19	1.178411	3.9	discard	DEVICE_BATCH_SIZE=16 2 grad accum steps (much worse)
75ddced	1.100902	10.7	discard	DEVICE_BATCH_SIZE=48 TOTAL_BATCH=98304 (fewer steps)
fdff754	1.108585	7.2	discard	SiLU activation in MLP (ReluSquared much better)
eac3e9b	1.097786	7.2	discard	emb_std=0.5 (0.6 better)
e33e6b9	1.107405	7.2	discard	token dropping 5% from loss (hurts significantly)
23747a5	1.098837	7.2	discard	Muon ns_steps=4 (5 better)
4d6a0e5	1.107421	7.4	discard	GLU with ReluSquared gating 2.5x hidden (36M params)
6d42739	1.097076	7.2	discard	PE norm factor 1.0 (1.02 better)
c6ea0b2	1.097470	7.2	discard	PE norm factor 1.05 (1.02 better)
5353234	1.097379	7.2	discard	gradient resid/x0 lambdas (0.85-0.95/0.15-0.05)
0e3332b	1.097479	7.2	discard	Muon momentum warmup 300 steps (200 better)
879b488	1.098836	7.2	discard	attention temperature 0.85 (QK norm already good)
80441f1	1.099330	7.5	discard	MLP expansion 4.0x (3.5x better, fewer steps)
8360bef	1.098117	6.9	discard	MLP expansion 3.0x (3.5x better despite more steps)
d3b6106	1.098216	7.2	discard	rotary base=10000 (50000 better)
11c1638	1.097358	7.2	discard	rotary base=100000 (50000 better)
dd140c9	1.097047	7.2	discard	VE gate scale 1.5 (2.0 slightly better)
16281e6	1.097294	7.2	discard	VE gate scale 3.0 (2.0 better)
e54ed90	1.097703	7.2	discard	VE gate channels=64 (32 better)
7bc0570	1.098747	7.2	discard	standard WD no cautious masking (cautious better)
6cd85b2	1.097336	7.2	discard	FINAL_LR_FRAC=0.01 (0.02 slightly better)
158ed98	1.097584	7.2	discard	FINAL_LR_FRAC=0.05 (0.02 better)
f3fbdd7	1.100557	7.2	discard	lm_head init std=0.002 (0.001 better)
0fb1bcb	1.097910	7.2	discard	lm_head init std=0.0005 (0.001 better)
f3be0f2	1.097102	7.2	discard	lm_head WD=0.0 (0.001 better)
f03e92b	1.096954	7.2	discard	VE WD=0.008 (0.004 slightly better)
104ac21	1.098205	7.2	discard	VE WD=0.002 (0.004 better)
0f17525	1.098183	7.2	discard	VE LR=0.5*embedding_lr (full LR better)
42f44a4	1.100385	7.0	discard	remove norm after embedding (norm needed)
9f760cf	1.098216	7.2	discard	Muon momentum 0.85->0.95 (0.80->0.90 better)
9bdbe3a	1.099208	7.2	discard	normal init for QKV/MLP (uniform better)
3d48e8a	1.098071	7.2	discard	embedding WD=0.008 (0.004 better)
115ed66	1.100212	7.2	discard	lm_head Adam betas=(0.9, 0.95) (0.5, 0.95 better)
e6b307a	1.099452	7.2	discard	seed=137 (seed 42 better by ~0.003)
74c549b	1.099761	7.2	discard	short_window=512 (256 better, fewer steps)
4384cdb	1.097694	7.2	discard	short_window=128 (256 better despite more steps)
8e9215b	1.096714	7.2	discard	MLP scale 0.9->0.5 per-layer + VE WD=0.008
e797e10	1.097119	7.2	discard	MLP scale 0.9->0.5 per-layer reconfirm
3be97a3	1.096952	7.2	discard	MLP scale 0.8->0.6 per-layer (gentler range)
713accb	1.097808	7.2	discard	per-layer attn 1.0->0.8 + MLP 0.9->0.5 (attn scale hurts)
05c0c77	1.097364	7.2	discard	WEIGHT_DECAY=0.10 (0.08 better)
9aa84eb	1.097482	7.2	discard	WEIGHT_DECAY=0.06 (0.08 better)
7f52698	1.098229	7.2	discard	constant WD no decay (linear decay better)
fc75325	1.097251	7.2	discard	WD cosine decay (linear slightly better)
3338e31	1.097557	7.2	discard	Muon beta2=0.999 (None better for short training)
3b40419	1.098406	7.2	discard	UNEMBEDDING_LR=0.010 (0.008 better)
827f3ef	1.097415	7.2	discard	UNEMBEDDING_LR=0.006 (0.008 better)
533b825	1.097240	7.2	discard	resid=0.95 x0=0.05 (0.90/0.10 better)
4e7a3a3	1.097299	7.2	discard	resid=0.85 x0=0.15 (0.90/0.10 better)
57f1903	1.100017	7.2	discard	cosine LR schedule (linear warmdown better)
e0da5a8	1.104499	7.2	discard	sqrt LR warmdown (too slow decay, linear better)
1471fb6	1.104140	7.2	discard	quadratic LR warmdown (too fast early drop)
0a9eb88	1.118169	7.0	discard	remove norm before attention (essential for stability)
1ae763d	1.106938	7.2	discard	1% warmup + 99% warmdown (0 warmup better)
b0eabd3	1.097292	7.2	discard	MLP scale 0.8->0.6 + FINAL_LR_FRAC=0.01
3a1db7c	1.097178	7.2	discard	MLP scale 0.8->0.6 + MATRIX_LR=0.054
03ffd2d	1.097314	7.2	discard	MLP scale 0.8->0.6 + resid=0.92/x0=0.08
e4fa994	1.099552	7.4	discard	VE on all 5 layers (alternating better, 43.8M too many params)
8331d48	1.110600	7.0	discard	VE only first layer (27M params, alternating much better)
372778f	1.100311	7.1	discard	VE first+last layer only (31.2M, alternating 3 better)
14d14f1	1.104238	10.1	discard	double MLP per block (44.6M too many params, 1077 steps)
2db9583	1.096860	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + PE norm=1.0
3cec6c5	1.096913	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + cosine WD decay
a9eb8ba	1.097216	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + EMBEDDING_LR=0.48
0ea39e0	1.096728	7.2	discard	MLP 0.8->0.6 + VE WD=0.008 + lm_head WD=0.002
e69a15d	1.105660	7.0	discard	remove x0 residual connection entirely (x0 essential)
32dbdf7	1.097527	7.2	discard	softcap=12 (11 better)
599a683	1.097782	7.2	discard	softcap=10 (11 better)
23791a4	1.097569	7.2	discard	ADAM_BETAS=(0.6, 0.95) (0.5, 0.95 better)
f4b2b3a	1.098002	7.2	discard	ADAM_BETAS=(0.4, 0.95) (0.5, 0.95 better)
2c5377c	1.097462	7.2	discard	ADAM_BETAS=(0.5, 0.99) (0.95 better)
5d7d8db	1.097619	7.2	discard	VE contribution scaled by 0.5 (full better)
dbf4bf4	1.097504	7.2	discard	MLP 0.8->0.6 + resid_params LR=0.01 (0.005 better)
eb43091	1.106292	7.2	discard	remove softcap entirely (softcap essential)
aecc332	1.096825	7.2	discard	repeat MLP 0.8->0.6 + VE WD=0.008 (confirms ~1.0968)
2349176	1.097259	7.0	discard	MLP expansion 3.25x (3.5x better despite fewer steps)
bdf3f8f	1.099788	7.2	discard	partial rotary (50% dims rotated) - full rotary better
789b07b	1.187857	7.5	discard	learned per-layer MLP scale (init 0.7) - much worse convergence
2800e03	1.096622	7.2	discard	resid_params betas=(0.9,0.95) instead of adam_betas
b0e3a5b	1.100976	6.6	discard	GQA n_kv_head=2 (saves params but hurts quality)
728cd3d	1.097057	7.2	discard	attention output scale 0.9 (1.0 better)
83b87b4	1.096630	7.2	discard	smaller VE init s*0.5 (full s better)
2aa89ee	1.096838	7.2	discard	x0=0.15 resid=0.85 (0.1/0.90 better)
a6e350e	1.097328	7.2	discard	per-layer resid/x0 lambdas (uniform 0.90/0.1 better)
6e2d85a	1.095779	7.2	keep	QK norm before rotary (instead of after)
c343e3c	1.095728	7.2	keep	norm-before-rotary + MLP scale 0.8->0.6 per layer
d99b4a9	1.095927	7.2	discard	add VE WD=0.008 (0.004 better with this combo)
d87fec4	1.095738	7.2	discard	MATRIX_LR=0.06 (0.055 marginally better)
4e738b2	1.095560	7.2	keep	EMBEDDING_LR=0.50 (from 0.45)
c5ac26a	1.096356	7.2	discard	EMBEDDING_LR=0.55 (too high)
b96e0d4	1.096399	7.2	discard	UNEMBEDDING_LR=0.009 (0.008 better)
8234869	1.096336	7.2	discard	MATRIX_LR=0.050 (0.055 better)
403fccb	1.095817	7.2	discard	WEIGHT_DECAY=0.10 (0.08 better)
eaa4b10	1.096312	7.2	discard	MLP scale 0.75->0.65 (0.8->0.6 better)
4acde03	1.095803	7.2	discard	fixed MLP scale 0.7 (per-layer 0.8->0.6 better)
ffdf813	1.096335	7.2	discard	emb_std=0.7 (0.6 better)
400a322	1.095742	7.2	discard	softcap=12 (11 better)
456384f	1.096291	7.5	discard	MLP 4.0x expansion (3.5x better with more steps)
d3e0a75	1.095379	7.2	keep	ADAM_BETAS=(0.45, 0.95) from (0.5, 0.95)
8994cd9	1.095511	7.2	discard	ADAM_BETAS=(0.40, 0.95) - 0.45 better
bab8e31	1.095609	7.2	discard	FINAL_LR_FRAC=0.01 (0.02 better)
8e00290	1.096145	7.2	discard	Muon momentum to 0.95 (0.90 better)
6be7e01	1.096333	7.2	discard	embedding WD=0.006 (0.004 better)
149ea7d	1.165312	7.2	discard	TOTAL_BATCH_SIZE=2^17 (too few steps)
4bf8e11	0.000000	0.0	crash	DEVICE_BATCH_SIZE=48 (doesn't divide TOTAL_BATCH_SIZE)
58bf86b	1.096723	7.2	discard	embedding/VE betas=(0.9,0.99) - adam_betas better
10eaa4d	1.095273	7.2	keep	ADAM_BETAS=(0.45, 0.98) from (0.45, 0.95)
034a495	1.095441	7.2	discard	ADAM_BETAS=(0.45, 0.99) - 0.98 better
afc33d1	1.095875	7.2	discard	EMBEDDING_LR=0.55 (0.50 better)
f36d82d	1.095776	7.2	discard	VE gate scale 2.5 (2.0 better)
01bbce9	1.095071	7.2	keep	x0_params LR*2.0 (from *1.0)
3881749	1.095765	7.2	discard	x0_params LR*3.0 (2.0 better)
43fa8a2	1.094970	7.2	keep	resid_params LR=0.01 (from 0.005)
f1d08ae	1.095825	7.2	discard	resid_params LR=0.02 (0.01 better)
cfe884f	1.096301	7.2	discard	x0_params betas=adam_betas (0.9/0.95 better)
7c2326a	1.095080	7.2	discard	x0_params betas=(0.9, 0.98) - (0.9, 0.95) better
3bf1d4f	1.095102	7.2	discard	resid_params betas=(0.9, 0.98) - adam_betas better
c422c88	1.095085	7.2	discard	lm_head WD=0.002 (0.001 better)
1b76270	1.094857	7.2	keep	MATRIX_LR=0.06 (from 0.055)
1b226dc	1.095069	7.2	discard	MATRIX_LR=0.065 (0.06 better)
d51d2a9	1.094930	7.2	discard	WEIGHT_DECAY=0.09 (0.08 better)
72f62c2	1.101371	7.2	discard	2% warmup (no warmup better)
cc06380	1.095180	7.2	discard	Muon momentum start 0.85 (0.80 better)
84e7201	1.094999	7.2	discard	Muon momentum warmup 300 steps (200 better)
92d4054	1.094845	7.2	keep	VE gate channels=48 (from 32)
cbc3cf7	1.095472	7.2	discard	VE gate channels=64 (48 better)
9f3a830	1.095536	7.2	discard	rotary base=30000 (50000 better)
4e19e7e	1.095012	7.2	discard	MLP scale 0.85->0.55 (0.8->0.6 better)
f2ed843	1.095309	7.2	discard	resid_params WD=0.01 (0.02 better)
ca6c4aa	1.108188	7.2	discard	lm_head init std=0.002 (0.001 much better)
223ed6a	1.095576	7.2	discard	UNEMBEDDING_LR=0.007 (0.008 better)
daafc9a	1.096316	7.2	discard	SCALAR_LR=1.5 (1.0 better)
e1b7f85	1.100262	7.2	discard	v norm (destroys value information)
b95be04	1.095527	7.2	discard	EMBEDDING_LR=0.48 (0.50 better)
e65f11e	1.095693	7.2	discard	PE norm 1.0 (1.02 better)
cb2b651	1.099729	7.4	discard	VE all 5 layers (too many VE params)
9cbeb93	1.095844	7.2	discard	x0_params WD=0.001 (0.0 better)
17b199b	1.101681	7.2	discard	8 heads x 64d (4 x 128d much better)
98e0e3f	1.096267	7.2	discard	VE LR=0.7x embedding_lr (1.0x better)
da13207	1.095750	7.2	discard	ADAM_BETAS=(0.45, 0.97) - 0.98 better
1b43cac	1.096069	7.2	discard	gradient clipping max_norm=1.0 (hurts Muon)
ee37201	1.096525	7.2	discard	V init 0.5x scale (full scale better)
38d88bd	1.095395	7.2	discard	VE gate init normal(0, 0.01) - zeros better
6a79113	1.098915	7.2	discard	seed=7 (seed 42 better on eval)
75945fc	1.102139	8.4	discard	depth=6 (too slow - 1317 steps vs 1500)
252a5fc	1.114135	7.2	discard	parallel attn+MLP (serial much better)
8b93c83	1.096561	7.2	discard	per-layer init scale 1/sqrt(i+1) - uniform better
d2e680a	1.095658	7.2	discard	FINAL_LR_FRAC=0.03 (0.02 better)
cfc5ca2	1.095801	7.2	discard	WD floor 0.01 (decay to 0 better)
ce5f130	1.097311	7.2	discard	MLP c_fc init 2x (standard better)
e080bf9	1.095997	7.2	discard	Muon beta2=0.999 (None better)
12d48f4	1.095700	7.2	discard	softmax_scale=0.12 (default better)
cf27461	1.151107	7.2	discard	Q scale sqrt(d) - attention too sharp
6318f4f	1.096681	7.2	discard	UNEMBEDDING_LR=0.010 (0.008 better)
6db6c57	1.098285	7.2	discard	cosine warmdown schedule (linear better)
7d9a849	1.098370	7.2	discard	short_window=seq_len/4 (seq_len/8 better)
ede7f97	1.098541	7.2	discard	Muon ns_steps=4 (5 better)
6f643b4	1.096033	7.2	discard	PE norm factor 1.05 (1.02 better)
1cea003	1.096615	6.9	discard	MLP 3.0x expansion (3.5x better)
e8dcc8e	1.108531	7.2	discard	depth=4 aspect=160 (640 dim too shallow)
7317dc3	1.096484	7.2	discard	resid_lambdas=0.85/x0=0.15 (0.90/0.1 better)
3317e9e	1.096826	7.2	discard	emb_std=0.5 (0.6 better)
3b1f4d4	1.097420	7.2	discard	Muon momentum 0.85->0.95 (0.80->0.90 better)
13dca37	1.110122	7.2	discard	lm_head_std=0.002 (0.001 better)
d8e4793	1.097771	7.2	discard	rotary base=10000 (50000 better)
ee01736	1.095979	7.2	discard	FINAL_LR_FRAC=0.01 (0.02 better)
7bb11a9	1.096053	7.2	discard	FINAL_LR_FRAC=0.03 (0.02 better)
8b49e43	1.099561	7.1	discard	skip VE on layer 0 (all alternating better)
6e900ae	1.097306	7.2	discard	constant WD (linear decay to 0 better)
721e6ad	1.097139	7.2	discard	embedding/VE WD=0.008 (0.004 better)
5cb3a0f	1.101006	7.2	discard	window SL pattern (all S better)
795449d	1.097882	7.2	discard	c_proj small random init (zeros better)
2070bef	1.097862	7.4	discard	VE interpolation gate (additive better)
6737250	1.100021	7.0	discard	shared VE embedding (per-layer better)
ca5b0e6	1.096572	7.2	discard	softcap=10 (11 better)
3c02f0b	1.097285	7.2	discard	VE LR 1.5x embedding (1.0x better)
de74853	1.095805	7.2	discard	lm_head WD=0.002 (0.001 better)
b9d8047	1.096514	7.2	discard	per-layer attn scale 0.9->0.8 (no scale better)
c3639c1	1.095881	7.2	discard	WEIGHT_DECAY=0.10 (0.08 better)
dce1b95	1.096206	7.2	discard	WEIGHT_DECAY=0.06 (0.08 better)
aa0c0b6	1.105200	7.2	discard	remove softcap (softcap=11 much better)
e83c8e2	1.096181	7.2	discard	Muon warmup 400 steps (200 better)
9f31f90	1.097246	7.2	discard	disable dmodel LR scale (with scale better)
175d135	1.216693	4.8	discard	640 dim batch 16 (too slow with grad accum)
0a1786b	1.097845	7.2	discard	standard WD (cautious better)
4a64cd7	1.104585	7.2	discard	ReLU-cubed (ReLU-squared much better)
73d6451	1.095920	7.2	discard	resid WD=0.01 (0.02 better)
6c134a3	1.096442	7.2	discard	embedding/VE WD=0.002 (0.004 better)
48c27a9	1.096267	7.2	discard	x0_params WD=0.001 (0.0 better)
2b72224	1.098829	7.2	discard	center+RMS norm (RMS norm alone better)
9838d12	1.096284	7.2	discard	VE gate scale 1.5 (2.0 better)
4a78588	1.096157	7.3	discard	x0 mixing between attn/MLP (before block better)
fe6ad22	1.096148	7.2	discard	x0_lambdas decay init 0.15->0.05 (flat 0.1 better)
567cba5	1.096101	7.4	discard	MLP 3.75x (3.5x better)
0e1a315	1.096336	7.2	discard	softcap=13 (11 better)
ff3dcc0	1.104836	7.0	discard	remove post-embedding norm (norm needed)
0290793	1.102728	6.5	discard	depth=6 aspect=64 (384 dim too narrow)
51e6c99	1.102745	8.4	discard	depth=6 512dim (too slow, fewer steps)
dbec491	1.096885	7.2	discard	rotary base=100000 (50000 better)
53f887f	1.095939	7.2	discard	VE gate channels=40 (48 better)
8e41dab	1.099876	9.2	discard	label smoothing 0.01 (no smoothing better + more VRAM)
4ed1c90	1.096238	7.2	discard	VE init normal(0,0.6) (uniform better)
92d4054	1.096010	7.2	keep	verification run of baseline (variance check)
9108316	1.096304	7.2	discard	init sqrt(2)/sqrt(d) (sqrt(3)/sqrt(d) better)
12848f1	1.098230	7.2	discard	normal init (uniform better)
0f8a952	1.098635	7.2	discard	seed=137 (42 better)
a3cbf46	1.096728	7.2	discard	EMBEDDING_LR=0.55+MATRIX_LR=0.065 combined (baseline better)
3945840	1.096108	7.2	discard	cosine WD decay (linear better)
0a2fa69	1.096008	7.2	discard	resid betas=(0.9,0.95) (adam_betas similar)
e56ef70	1.130816	7.2	discard	post-norm after attn/MLP (much worse)
f8cfc72	1.096388	7.2	discard	MLP scale growing 0.6->0.8 (decaying 0.8->0.6 better)
f62d007	1.095980	7.2	discard	MLP scale 0.7->0.5 (0.8->0.6 similar/better)
78be98a	1.096603	7.2	discard	VE gate scale 3 (2 better)
f538a11	1.096074	7.2	discard	WEIGHT_DECAY=0.09 (0.08 better)
79e6227	1.098572	7.2	discard	VE gate tanh (2*sigmoid better)
a5bc9b8	1.097760	7.2	discard	short_window=128 (256 better)
5737db2	1.099660	7.2	discard	lm_head betas=(0.9,0.999) (adam_betas better)
ff831da	1.119984	7.1	discard	VE odd layers 1,3 (even 0,2,4 much better)
cfd79fd	1.096089	7.2	discard	EMB_LR=0.48+MAT_LR=0.058 (baseline LRs better)
83aef28	1.096100	7.2	discard	WARMDOWN_RATIO=0.8 (1.0 better)
795510b	1.096105	7.2	discard	matmul highest precision (high better, faster)
9a51f10	1.095831	7.2	discard	matmul medium precision (high similar)
22ece31	1.097991	7.4	discard	V norm before VE mixing (no norm better)
47cef48	1.096987	7.2	discard	SCALAR_LR=1.5 (1.0 better)
fd5fcd6	1.097422	7.2	discard	x0_params betas=adam_betas ((0.9,0.95) better)
dd31706	1.097002	7.2	discard	VE gate last 48 channels (first 48 better)
4c98c2d	1.096212	7.2	discard	ADAM_BETAS=(0.42,0.98) ((0.45,0.98) better)
3086230	1.112425	7.2	discard	GeLU activation (ReluSquared much better)
7cc381f	1.108465	7.2	discard	Gated MLP (ReluSquared GLU) 7/3x hidden (worse)
d4105d3	1.109619	8.3	discard	Gated MLP (ReluSquared GLU) 3.5x hidden (worse + more VRAM)
843949e	0.000000	0.0	crash	Stochastic depth (torch.compile incompatible)
754c833	1.097052	7.2	discard	Z-loss 1e-4 on logits (slightly worse)
0fcf2ee	1.096390	7.2	discard	Grad clip max_norm=1.0 (within noise but not better)
2d8e74b	1.097433	7.5	discard	MLP 4x expansion (worse than 3.5x)
4a5a0a3	1.108385	6.5	discard	HEAD_DIM=64 (model shrank to 448 dim)
